n,average
1,1500
2,1500
3,1166.67
4,1833.33
5,1875
6,1600
7,1416.67
8,1357.14
9,1250
10,1277.78
11,1200
12,1136.36
13,1166.67
14,1153.85
15,1107.14
16,1100
17,1093.75
18,1117.65
19,1138.89
20,1157.89
21,1125
22,1095.24
23,1068.18
24,1108.7
25,1195.65
26,1166.67
27,1140
28,1220
29,1192.31
30,1166.67
31,1142.86
32,1155.17
33,1150
34,1161.29
35,1140.62
36,1121.21
37,1132.35
38,1128.57
39,1111.11
40,1108.11
41,1105.26
42,1089.74
43,1087.5
44,1085.37
45,1071.43
46,1058.14
47,1056.82
48,1055.56
49,1100
50,1086.96
51,1095.74
52,1083.33
53,1071.43
54,1090
55,1130
56,1127.45
57,1125
58,1141.51
59,1138.89
60,1127.27
61,1125
62,1122.81
63,1137.93
64,1127.12
65,1116.67
66,1106.56
67,1096.77
68,1087.3
69,1078.12
70,1092.31
71,1098.48
72,1089.55
73,1095.59
74,1108.7
75,1100
76,1091.55
77,1083.33
78,1075.34
79,1074.32
80,1080
81,1085.53
82,1077.92
83,1070.51
84,1082.28
85,1075
86,1067.9
87,1067.07
88,1060.24
89,1059.52
90,1058.82
91,1058.14
92,1057.47
93,1051.14
94,1044.94
95,1055.56
96,1049.45
97,1048.91
98,1043.01
99,1037.23
100,1036.84
101,1041.67
102,1041.24
103,1040.82
104,1035.35
105,1030
106,1034.65
107,1029.41
108,1024.27
109,1028.85
110,1028.57
111,1023.58
112,1028.04
113,1023.15
114,1018.35
115,1013.64
116,1013.51
117,1013.39
118,1008.85
119,1004.39
120,1000
121,1000
122,1000
123,1000
124,1000
125,1008.33
126,1012.4
127,1008.2
128,1016.26
129,1024.19
130,1020
131,1036
132,1035.71
133,1035.43
134,1035.16
135,1031.01
136,1026.92
137,1026.72
138,1030.3
139,1026.32
140,1041.35
141,1037.31
142,1033.33
143,1029.41
144,1032.85
145,1039.86
146,1035.97
147,1035.71
148,1031.91
149,1038.73
150,1034.97
151,1038.19
152,1041.38
153,1037.67
154,1040.82
155,1037.16
156,1033.56
157,1033.33
158,1033.11
159,1029.61
160,1026.14
161,1039.22
162,1042.21
163,1048.39
164,1048.08
165,1044.59
166,1041.14
167,1037.74
168,1034.38
169,1034.16
170,1030.86
171,1033.74
172,1030.49
173,1027.27
174,1033.13
175,1035.93
176,1032.74
177,1029.59
178,1026.47
179,1023.39
180,1020.35
181,1017.34
182,1014.37
183,1014.29
184,1011.36
185,1014.12
186,1016.85
187,1013.97
188,1011.11
189,1008.29
190,1008.24
191,1013.66
192,1010.87
193,1008.11
194,1005.38
195,1010.7
196,1013.3
197,1015.87
198,1013.16
199,1010.47
200,1010.42
