n,average
10001,992.651
10001,992.701
10002,992.651
10002,992.701
10003,992.652
10004,992.603
10005,992.554
10006,992.504
10006,992.554
10007,992.505
10008,992.456
10009,992.407
10010,992.358
10011,992.308
10011,992.358
10012,992.309
10012,992.359
10013,992.31
10014,992.261
10014,992.311
10015,992.262
10016,992.212
10016,992.262
10016,992.312
10017,992.263
10017,992.313
10017,992.363
10017,992.413
10017,992.463
10018,992.414
10019,992.365
10020,992.315
10020,992.365
10021,992.316
10022,992.267
10023,992.218
10024,992.169
10025,992.12
10026,992.071
10026,992.12
10027,992.071
10028,992.022
10028,992.072
10029,992.023
10030,991.974
10030,992.024
10031,991.975
10032,991.926
10032,991.976
10033,991.927
10033,991.976
10034,991.927
10034,991.977
10034,992.027
10034,992.077
10035,992.028
10036,991.979
10037,991.93
10038,991.881
10038,991.931
10038,991.98
10038,992.03
10039,991.981
10040,991.932
10041,991.883
10041,991.933
10041,991.983
10041,992.033
10041,992.082
10041,992.132
10042,992.083
10043,992.034
10044,991.985
10044,992.035
10045,991.986
10046,991.937
10047,991.888
10048,991.839
10048,991.889
10048,991.939
10048,991.988
10049,991.939
10049,991.989
10049,992.039
10049,992.089
10049,992.139
10050,992.09
10051,992.041
10051,992.09
10052,992.041
10053,991.992
10054,991.944
10054,991.993
10054,992.043
10055,991.994
10056,991.945
10057,991.896
10058,991.847
10059,991.798
10059,991.848
10060,991.799
10060,991.849
10060,991.899
10060,991.948
10061,991.899
10061,991.949
10061,991.999
10061,992.049
10062,992
10063,991.951
10064,991.902
10065,991.853
10066,991.804
10066,991.854
10066,991.903
10067,991.855
10067,991.904
10067,991.954
10067,992.004
10067,992.053
10067,992.103
10068,992.054
10068,992.104
10068,992.153
10069,992.104
10070,992.056
10070,992.105
10070,992.155
10071,992.106
10071,992.156
10072,992.107
10073,992.058
10073,992.108
10073,992.157
10073,992.207
10073,992.257
10074,992.208
10074,992.257
10074,992.307
10074,992.357
10074,992.406
10075,992.357
10076,992.308
10076,992.358
10077,992.309
10078,992.26
10078,992.31
10079,992.261
10079,992.311
10079,992.36
10080,992.312
10081,992.263
10081,992.312
10082,992.263
10082,992.313
10082,992.363
10082,992.412
10082,992.462
10082,992.511
10083,992.463
10084,992.414
10085,992.365
10086,992.316
10087,992.267
10088,992.218
10089,992.17
10090,992.121
10090,992.17
10090,992.22
10091,992.171
10091,992.221
10092,992.172
10092,992.222
10093,992.173
10093,992.222
10094,992.174
10094,992.223
10094,992.273
10095,992.224
10095,992.273
10095,992.323
10095,992.372
10095,992.422
10096,992.373
10097,992.324
10098,992.276
10099,992.227
10099,992.276
10099,992.326
10100,992.277
10100,992.327
10100,992.376
10101,992.327
10101,992.377
10101,992.426
10101,992.476
10101,992.525
10102,992.477
10102,992.526
10102,992.576
10103,992.527
10104,992.478
10104,992.528
10104,992.577
10104,992.627
10105,992.578
10106,992.529
10106,992.579
10107,992.53
10107,992.579
10107,992.629
10107,992.678
10107,992.728
10108,992.679
10108,992.729
10108,992.778
10108,992.827
10109,992.779
10109,992.828
10110,992.779
10111,992.731
10112,992.682
10113,992.633
10113,992.683
10113,992.732
10114,992.683
10115,992.635
10116,992.586
10116,992.635
10117,992.587
10117,992.636
10117,992.686
10118,992.637
10119,992.588
10119,992.638
10119,992.687
10119,992.736
10119,992.786
10120,992.737
10121,992.688
10121,992.738
10122,992.689
10123,992.641
10124,992.592
10124,992.641
10125,992.593
10125,992.642
10126,992.593
10127,992.545
10128,992.496
10129,992.447
10130,992.399
10131,992.35
10132,992.302
10132,992.351
10132,992.4
10132,992.45
10132,992.499
10132,992.548
10132,992.598
10133,992.549
10134,992.5
10134,992.55
10135,992.501
10135,992.551
10136,992.502
10136,992.551
10137,992.503
10137,992.552
10137,992.601
10138,992.553
10139,992.504
10140,992.456
10141,992.407
10141,992.456
10142,992.408
10142,992.457
10143,992.409
10143,992.458
10143,992.507
10143,992.556
10144,992.508
10144,992.557
10145,992.509
10145,992.558
10145,992.607
10145,992.656
10145,992.706
10146,992.657
10146,992.706
10147,992.658
10148,992.609
10149,992.561
10149,992.61
10150,992.562
10150,992.611
10151,992.562
10151,992.612
10152,992.563
10152,992.612
10153,992.564
10154,992.515
10154,992.565
10155,992.516
10156,992.468
10156,992.517
10156,992.566
10157,992.517
10157,992.567
10157,992.616
10158,992.567
10159,992.519
10160,992.47
10161,992.422
10162,992.374
10163,992.325
10163,992.374
10164,992.326
10164,992.375
10164,992.424
10165,992.376
10166,992.327
10166,992.377
10166,992.426
10166,992.475
10166,992.524
10167,992.476
10167,992.525
10168,992.476
10168,992.526
10168,992.575
10168,992.624
10169,992.575
10169,992.625
10170,992.576
10171,992.528
10171,992.577
10171,992.626
10172,992.578
10173,992.529
10174,992.481
10175,992.432
10175,992.482
10176,992.433
10177,992.385
10178,992.336
10179,992.288
10180,992.24
10180,992.289
10180,992.338
10180,992.387
10180,992.436
10181,992.388
10181,992.437
10181,992.486
10181,992.535
10181,992.584
10181,992.633
10181,992.682
10181,992.732
10181,992.781
10182,992.732
10182,992.781
10182,992.83
10182,992.88
10182,992.929
10183,992.88
10183,992.929
10184,992.881
10185,992.833
10186,992.784
10187,992.736
10187,992.785
10188,992.737
10188,992.786
10188,992.835
10189,992.786
10189,992.835
10190,992.787
10191,992.739
10192,992.69
10192,992.739
10193,992.691
10193,992.74
10194,992.692
10195,992.643
10196,992.595
10197,992.547
10198,992.499
10198,992.548
10198,992.597
10199,992.548
10199,992.597
10200,992.549
10200,992.598
10200,992.647
10201,992.599
10201,992.648
10202,992.599
10202,992.649
10203,992.6
10204,992.552
10205,992.504
10206,992.455
10206,992.504
10206,992.553
10206,992.602
10207,992.554
10208,992.506
10209,992.458
10209,992.507
10209,992.556
10209,992.605
10210,992.556
10211,992.508
10211,992.557
10212,992.509
10213,992.461
10214,992.412
10215,992.364
10215,992.413
10215,992.462
